id,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,pct_change,changea,change
134,11/30/2015,117.99,119.41,117.75,118.3,39180322,0,1,113.9958827,115.3678138,113.764007,114.2953888,39180322,-0.00253614,-0.253613999,0.746386001
135,12/11/2015,115.19,115.39,112.851,113.18,46886161,0,1,111.2906664,111.4838961,109.0308446,109.3487075,46886161,-0.00732506,-0.732506032,0.267493968
136,1/4/2016,102.61,105.368,102,105.35,67649387,0,1,99.136516,101.8011541,98.5471653,101.7837634,67649387,-0.041117653,-4.111765256,-3.111765256
137,1/6/2016,100.56,102.37,99.87,100.7,68457388,0,1,97.1559112,98.90464031,96.48926861,97.29117202,68457388,-0.049078014,-4.907801418,-3.907801418
138,1/12/2016,100.55,100.69,98.8399,99.96,49154227,0,1,97.14624972,97.28151053,95.49403886,96.576222,49154227,0.015964434,1.596443367,2.596443367
139,2/11/2016,93.79,94.72,92.59,93.7,50074711,0,1,91.10286771,92.00622272,89.93724833,91.01544625,50074711,-0.022206005,-2.2206005,-1.2206005
140,2/12/2016,94.19,94.5,93.01,93.99,40351381,0,1,91.4914075,91.79252584,90.34521511,91.2971376,40351381,0.004264847,0.4264847,1.4264847
141,2/16/2016,95.02,96.85,94.61,96.64,49057916,0,1,92.29762757,94.07519712,91.89937428,93.87121372,49057916,0.008811976,0.881197579,1.881197579
142,3/3/2016,100.58,101.7099,100.45,101.5,36955742,0,1,97.69833067,98.79585845,97.57205524,98.5919722,36955742,0.000696448,0.069644811,1.069644811
143,3/8/2016,100.78,101.76,100.4,101.03,31182194,0,1,97.89260057,98.84452306,97.52348777,98.13543794,31182194,-0.015724192,-1.572419182,-0.572419182
144,3/10/2016,101.41,102.24,100.15,101.17,33513577,0,1,98.50455074,99.31077081,97.2806504,98.27142687,33513577,0.000987069,0.098706939,1.098706939
145,3/14/2016,101.91,102.91,101.78,102.52,25076062,0,1,98.99022548,99.96157496,98.86395005,99.58274867,25076062,-0.0032277,-0.322769953,0.677230047
146,3/15/2016,103.96,105.18,103.85,104.58,40067734,0,1,100.9814919,102.1665383,100.8746435,101.5837286,40067734,0.020115788,2.011578844,3.011578844
